BottleID,run_block,chamber_channel,Group,Day_Night,Tide,SGD,Date,Time,TA,Salinity
RUN4_CH6-7_INITIAL_20230327,RUN4,6,INITIAL,NA,NA,NA,3/27/2023,NA,2373.259605,36.41
RUN4_CH6-7_INITIAL_20230327,RUN4,7,INITIAL,NA,NA,NA,3/27/2023,NA,2373.259605,36.41
RUN4_CH8-9_INITIAL_20230327,RUN4,8,INITIAL,NA,NA,NA,3/27/2023,NA,2373.810501,36.36
RUN4_CH8-9_INITIAL_20230327,RUN4,9,INITIAL,NA,NA,NA,3/27/2023,NA,2373.810501,36.36
RUN4_CH1_A7_HIGH_20230327,RUN4,1,A7,NA,NA,high,3/27/2023,NA,2339.987427,36.45
RUN4_CH2_B8_LOW_20230327,RUN4,2,B8,NA,NA,low,3/27/2023,NA,2312.8325,36.46
RUN4_CH3_A8_LOW_20230327,RUN4,3,A8,NA,NA,low,3/27/2023,NA,2341.5243,36.45
RUN4_CH4_B7_LOW_20230327,RUN4,4,B7,NA,NA,low,3/27/2023,NA,2336.967113,36.44
RUN4_CH5_B8_HIGH_20230327,RUN4,5,B8,NA,NA,high,3/27/2023,NA,2343.026455,36.38
RUN4_CH6_A7_LOW_20230327,RUN4,6,A7,NA,NA,low,3/27/2023,NA,2330.012227,36.59
RUN4_CH7_A8_HIGH_20230327,RUN4,7,A8,NA,NA,high,3/27/2023,NA,2369.165442,36.56
RUN4_CH8_BLANK_20230327,RUN4,8,BLANK,NA,NA,NA,3/27/2023,NA,2372.4247,36.41
RUN4_CH9_B7_HIGH_20230327,RUN4,9,B7,NA,NA,high,3/27/2023,NA,2355.534853,36.43
RUN5_CH1-3_INITIAL_20230327,RUN5,1,INITIAL,NA,NA,NA,3/27/2023,NA,2369.3401,36.61
RUN5_CH1-3_INITIAL_20230327,RUN5,2,INITIAL,NA,NA,NA,3/27/2023,NA,2369.3401,36.61
RUN5_CH1-3_INITIAL_20230327,RUN5,3,INITIAL,NA,NA,NA,3/27/2023,NA,2369.3401,36.61
RUN5_CH4-5_INITIAL_20230327,RUN5,4,INITIAL,NA,NA,NA,3/27/2023,NA,2382.713173,36.69
RUN5_CH4-5_INITIAL_20230327,RUN5,5,INITIAL,NA,NA,NA,3/27/2023,NA,2382.713173,36.69
RUN5_CH6-7_INITIAL_20230327,RUN5,6,INITIAL,NA,NA,NA,3/27/2023,NA,2396.494758,36.82
RUN5_CH6-7_INITIAL_20230327,RUN5,7,INITIAL,NA,NA,NA,3/27/2023,NA,2396.494758,36.82
RUNS_CH8-9_INITIAL_20230327,RUN5,8,INITIAL,NA,NA,NA,3/27/2023,NA,2377.268581,36.6
RUNS_CH8-9_INITIAL_20230327,RUN5,9,INITIAL,NA,NA,NA,3/27/2023,NA,2377.268581,36.6
RUN5_CH1_A10_LOW_20230327,RUN5,1,A9,NA,NA,low,3/27/2023,NA,2383.254093,36.67
RUN5_CH2_BLANK_20230327,RUN5,2,BLANK,NA,NA,NA,3/27/2023,NA,2382.984393,36.72
RUN5_CH3_B9_LOW_20230327,RUN5,3,B10,NA,NA,low,3/27/2023,NA,2369.87916,36.68
RUN5_CH4_A10_HIGH_20230327,RUN5,4,A10,NA,NA,high,3/27/2023,NA,2367.692972,36.78
RUN5_CH5_B9_LOW_20230327,RUN5,5,B9,NA,NA,low,3/27/2023,NA,2356.2438,36.67
RUN5_CH6_A9_HIGH_20230327,RUN5,6,A9,NA,NA,high,3/27/2023,NA,2351.198843,36.99
RUN5_CH7_B10_HIGH_20230327,RUN5,7,B9,NA,NA,high,3/27/2023,NA,2368.767898,36.86
RUN5_CH9_B3_HIGH_20230327_rerun,RUN5,9,B3,NA,NA,high,3/27/2023,NA,2314.85623,36.63
RUN6_CH1-3_INITIAL_20230328,RUN6,1,INITIAL,NA,NA,NA,3/28/2023,NA,2355.249125,36.34
RUN6_CH1-3_INITIAL_20230328,RUN6,2,INITIAL,NA,NA,NA,3/28/2023,NA,2355.249125,36.34
RUN6_CH1-3_INITIAL_20230328,RUN6,3,INITIAL,NA,NA,NA,3/28/2023,NA,2355.249125,36.34
RUN6_CH4-5_INITIAL_20230328,RUN6,4,INITIAL,NA,NA,NA,3/28/2023,NA,2356.261845,36.37
RUN6_CH4-5_INITIAL_20230328,RUN6,5,INITIAL,NA,NA,NA,3/28/2023,NA,2356.261845,36.37
RUN6_CH6-7_INITIAL_20230328,RUN6,6,INITIAL,NA,NA,NA,3/28/2023,NA,2352.478243,36.37
RUN6_CH6-7_INITIAL_20230328,RUN6,7,INITIAL,NA,NA,NA,3/28/2023,NA,2352.478243,36.37
RUN6_CH8-9_INITIAL_20230328,RUN6,8,INITIAL,NA,NA,NA,3/28/2023,NA,2355.732645,36.35
RUN6_CH8-9_INITIAL_20230328,RUN6,9,INITIAL,NA,NA,NA,3/28/2023,NA,2355.732645,36.35
RUN6_CH1_B2_HIGH_20230328,RUN6,1,B2,NA,NA,high,3/28/2023,NA,2273.193089,36.43
RUN6_CH2_B1_LOW_20230328,RUN6,2,B1,NA,NA,low,3/28/2023,NA,2295.3424,36.55
RUN6_CH3_B1_HIGH_20230328,RUN6,3,B1,NA,NA,high,3/28/2023,NA,2293.301166,36.53
RUN6_CH4_A2_HIGH_20230328,RUN6,4,A2,NA,NA,high,3/28/2023,NA,2316.028817,36.46
RUN6_CH5_A1_LOW_20230328,RUN6,5,A1,NA,NA,high,3/28/2023,NA,2334.389212,36.45
RUN6_CH6_BLANK_20230328,RUN6,6,BLANK,NA,NA,NA,3/28/2023,NA,2350.00169,36.37
RUN6_CH8_A1_HIGH_20230328,RUN6,8,A1,NA,NA,high,3/28/2023,NA,2322.814157,36.43
RUN6_CH9_A2_LOW_20230328,RUN6,9,A2,NA,NA,low,3/28/2023,NA,2337.09332,36.46
